Case Category,Year,Month,Filings,Dispositions
Civil,2019,January,2815,1877
Civil,2019,February,1658,2907
Civil,2019,March,1950,4561
Civil,2019,April,2369,3584
Civil,2019,May,2353,2597
Civil,2019,June,2305,2111
Civil,2019,July,2177,2387
Civil,2019,August,2542,1634
Civil,2019,September,2039,2151
Civil,2019,October,2534,1475
Civil,2019,November,1756,1537
Civil,2019,December,2356,1505
Civil,2020,January,3453,2511
Civil,2020,February,1768,1388
Civil,2020,March,718,241
Civil,2020,April,48,25
Civil,2020,May,46,17
Civil,2020,June,829,237
Civil,2020,July,1729,781
Civil,2020,August,2645,1746
Civil,2020,September,4000,1739
Civil,2020,October,5451,3300
Civil,2020,November,13884,4124
Civil,2020,December,23381,7774
Civil,2021,January,1777,1877
Civil,2021,February,2317,2907
Civil,2021,March,1307,4561
Criminal,2019,January,7783,7005
Criminal,2019,February,6360,6795
Criminal,2019,March,6802,7954
Criminal,2019,April,7186,10729
Criminal,2019,May,7232,8929
Criminal,2019,June,6559,7961
Criminal,2019,July,7440,9382
Criminal,2019,August,6880,8784
Criminal,2019,September,6774,9768
Criminal,2019,October,6900,11260
Criminal,2019,November,5681,8252
Criminal,2019,December,6464,7035
Criminal,2020,January,16152,8857
Criminal,2020,February,4861,3999
Criminal,2020,March,1965,1083
Criminal,2020,April,509,38
Criminal,2020,May,349,55
Criminal,2020,June,3706,1409
Criminal,2020,July,7168,6847
Criminal,2020,August,34397,14192
Criminal,2020,September,94661,34435
Criminal,2020,October,28340,86860
Criminal,2020,November,38829,62137
Criminal,2020,December,65566,47773
Criminal,2021,January,8550,7005
Criminal,2021,February,8100,6795
Criminal,2021,March,6906,7954
Family,2019,January,1102,906
Family,2019,February,1118,883
Family,2019,March,1181,1081
Family,2019,April,1225,1271
Family,2019,May,1247,1313
Family,2019,June,1002,1007
Family,2019,July,1199,1143
Family,2019,August,1276,1102
Family,2019,September,1190,1151
Family,2019,October,1251,925
Family,2019,November,1069,1082
Family,2019,December,1037,1131
Family,2020,January,1974,1448
Family,2020,February,1249,531
Family,2020,March,254,180
Family,2020,April,30,17
Family,2020,May,26,18
Family,2020,June,486,193
Family,2020,July,1407,704
Family,2020,August,2192,1128
Family,2020,September,2906,2051
Family,2020,October,3464,2680
Family,2020,November,8020,2594
Family,2020,December,6533,4719
Family,2021,January,1308,906
Family,2021,February,942,883
Family,2021,March,596,1081
Probate,2019,January,168,21
Probate,2019,February,173,35
Probate,2019,March,186,21
Probate,2019,April,209,17
Probate,2019,May,189,24
Probate,2019,June,164,24
Probate,2019,July,206,42
Probate,2019,August,189,24
Probate,2019,September,175,12
Probate,2019,October,206,11
Probate,2019,November,159,39
Probate,2019,December,154,20
Probate,2020,January,336,29
Probate,2020,February,178,38
Probate,2020,March,62,94
Probate,2020,April,4,1
Probate,2020,May,7,2
Probate,2020,June,80,46
Probate,2020,July,99,37
Probate,2020,August,402,167
Probate,2020,September,642,591
Probate,2020,October,1127,653
Probate,2020,November,866,93
Probate,2020,December,1493,1626
Probate,2021,January,201,21
Probate,2021,February,139,35
Probate,2021,March,260,21
Traffic,2019,January,27121,24733
Traffic,2019,February,22198,25523
Traffic,2019,March,25439,24168
Traffic,2019,April,25512,24802
Traffic,2019,May,24397,29762
Traffic,2019,June,22322,23004
Traffic,2019,July,24612,29668
Traffic,2019,August,25044,26041
Traffic,2019,September,23418,22773
Traffic,2019,October,22349,26711
Traffic,2019,November,19706,22322
Traffic,2019,December,20551,20140
Traffic,2020,January,29111,24652
Traffic,2020,February,18155,11864
Traffic,2020,March,5068,3633
Traffic,2020,April,847,213
Traffic,2020,May,839,341
Traffic,2020,June,9565,4198
Traffic,2020,July,28775,15709
Traffic,2020,August,50563,24841
Traffic,2020,September,69248,28255
Traffic,2020,October,116397,87740
Traffic,2020,November,122317,126378
Traffic,2020,December,228441,161814
Traffic,2021,January,17105,24733
Traffic,2021,February,17209,25523
Traffic,2021,March,38126,24168
